Date,Rainfall(mm)
1992-03-01,0.1
1992-04-01,43
1992-05-01,218.4
1992-06-01,819.3
1992-07-01,767.8
1992-08-01,508
1992-09-01,297.5
1992-10-01,290.7
1992-11-01,287.6
1992-12-01,3.7
1993-01-01,0
1993-02-01,17.8
1993-03-01,20.1
1993-04-01,66.5
1993-05-01,159
1993-06-01,657.1
1993-07-01,776.1
1993-08-01,301.9
1993-09-01,88
1993-10-01,431.2
1993-11-01,153.8
1993-12-01,46.2
1994-01-01,24.3
1994-02-01,27.1
1994-03-01,18.1
1994-04-01,154.5
1994-05-01,141.3
1994-06-01,845
1994-07-01,955.5
1994-08-01,479.9
1994-09-01,212.6
1994-10-01,428.4
1994-11-01,117.6
1994-12-01,6.5
1995-01-01,10.3
1995-02-01,6.5
1995-03-01,37.3
1995-04-01,134.9
1995-05-01,355.6
1995-06-01,493.4
1995-07-01,702.5
1995-08-01,457.3
1995-09-01,280
1995-10-01,198.3
1995-11-01,182.6
1995-12-01,0.1
1996-01-01,2.8
1996-02-01,9.1
1996-03-01,14.4
1996-04-01,124.3
1996-05-01,74.3
1996-06-01,572.4
1996-07-01,696
1996-08-01,327.4
1996-09-01,342.7
1996-10-01,294.1
1996-11-01,89.9
1996-12-01,62.5
1997-01-01,2.1
1997-02-01,1.5
1997-03-01,36.1
1997-04-01,60.6
1997-05-01,133.6
1997-06-01,544.2
1997-07-01,970.5
1997-08-01,536
1997-09-01,292.2
1997-10-01,288.9
1997-11-01,298.4
1997-12-01,88.4
1998-01-01,6
1998-02-01,2.1
1998-03-01,8.1
1998-04-01,61.1
1998-05-01,151.6
1998-06-01,732.5
1998-07-01,641.4
1998-08-01,371.8
1998-09-01,517.6
1998-10-01,444.8
1998-11-01,135
1998-12-01,79.4
1999-01-01,1.8
1999-02-01,23.8
1999-03-01,21.4
1999-04-01,111.6
1999-05-01,453.2
1999-06-01,607.3
1999-07-01,700.4
1999-08-01,266.3
1999-09-01,88
1999-10-01,567.9
1999-11-01,68.1
1999-12-01,4.9
2000-01-01,11.7
2000-02-01,57.8
2000-03-01,21.5
2000-04-01,96.3
2000-05-01,124.5
2000-06-01,633.8
2000-07-01,343.2
2000-08-01,566.5
2000-09-01,195.8
2000-10-01,214.2
2000-11-01,78.1
2000-12-01,69.1
2001-01-01,16.5
2001-02-01,28.3
2001-03-01,7
2001-04-01,238
2001-05-01,238.6
2001-06-01,715.3
2001-07-01,598.5
2001-08-01,361.3
2001-09-01,216.8
2001-10-01,319.6
2001-11-01,181
2001-12-01,10.1
2002-01-01,4.7
2002-02-01,8.7
2002-03-01,35.7
2002-04-01,117.3
2002-05-01,330.8
2002-06-01,503.1
2002-07-01,318.7
2002-08-01,438.2
2002-09-01,99
2002-10-01,511.7
2002-11-01,137.5
2002-12-01,2.1
2003-01-01,0.7
2003-02-01,50.9
2003-03-01,82.1
2003-04-01,134.4
2003-05-01,91
2003-06-01,566.7
2003-07-01,532
2003-08-01,350.3
2003-09-01,93.6
2003-10-01,407
2003-11-01,76.4
2003-12-01,9.7
2004-01-01,2.4
2004-02-01,8.1
2004-03-01,37.9
2004-04-01,113.2
2004-05-01,610.9
2004-06-01,673.4
2004-07-01,385.4
2004-08-01,417.9
2004-09-01,192.8
2004-10-01,320.6
2004-11-01,120.7
2004-12-01,2.7
2005-01-01,19.8
2005-02-01,7
2005-03-01,25.3
2005-04-01,205.9
2005-05-01,134.8
2005-06-01,619.2
2005-07-01,832.7
2005-08-01,291
2005-09-01,414.7
2005-10-01,240.1
2005-11-01,184.3
2005-12-01,56.4
2006-01-01,8.1
2006-02-01,0.5
2006-03-01,90.7
2006-04-01,65.3
2006-05-01,521.2
2006-06-01,482.4
2006-07-01,804
2006-08-01,432.6
2006-09-01,474.8
2006-10-01,376.4
2006-11-01,162.8
2006-12-01,1.8
2007-01-01,0.5
2007-02-01,5.6
2007-03-01,7.3
2007-04-01,138.5
2007-05-01,192.7
2007-06-01,705.9
2007-07-01,966.3
2007-08-01,489.6
2007-09-01,526.7
